2025/09/11 08:30:57 🚀 User Service started successfully on port 8001
2025/09/11 08:30:57 📖 API Documentation: http://localhost:8001/api/v1
2025/09/11 08:30:57 💓 Health Check: http://localhost:8001/health
2025/09/11 08:30:57 🔐 Authentication: POST http://localhost:8001/api/v1/auth/register
[GIN] 2025/09/11 - 09:24:29 | 200 |      31.621µs |       127.0.0.1 | GET      "/api/v1/users/quota"
[GIN] 2025/09/11 - 09:24:29 | 200 |      31.252µs |       127.0.0.1 | GET      "/api/v1/users/activity?limit=10"
[GIN] 2025/09/11 - 09:24:29 | 200 |      88.161µs |       127.0.0.1 | POST     "/api/v1/auth/refresh"
[GIN] 2025/09/11 - 09:24:29 | 200 |      57.085µs |       127.0.0.1 | POST     "/api/v1/auth/logout"
[GIN] 2025/09/11 - 09:24:29 | 200 |   47.392999ms |       127.0.0.1 | POST     "/api/v1/auth/login"
[GIN] 2025/09/11 - 09:31:58 | 200 |      58.529µs |       127.0.0.1 | GET      "/health"
[GIN] 2025/09/11 - 09:31:58 | 201 |    47.29447ms |       127.0.0.1 | POST     "/api/v1/auth/register"
[GIN] 2025/09/11 - 09:31:58 | 200 |   47.477721ms |       127.0.0.1 | POST     "/api/v1/auth/login"
[GIN] 2025/09/11 - 09:31:58 | 200 |      40.101µs |       127.0.0.1 | GET      "/api/v1/users/profile"
[GIN] 2025/09/11 - 09:31:58 | 200 |      36.453µs |       127.0.0.1 | GET      "/api/v1/users/quota"
[GIN] 2025/09/11 - 09:31:58 | 200 |      28.122µs |       127.0.0.1 | GET      "/api/v1/users/activity?limit=10"
[GIN] 2025/09/11 - 09:31:58 | 404 |         427ns |       127.0.0.1 | GET      "/api/v1/internal/users/7"
[GIN] 2025/09/11 - 09:31:58 | 404 |         542ns |       127.0.0.1 | GET      "/api/v1/internal/users/7"
[GIN] 2025/09/11 - 09:31:58 | 404 |         540ns |       127.0.0.1 | GET      "/api/v1/internal/users/7"
[GIN] 2025/09/11 - 09:31:58 | 404 |         505ns |       127.0.0.1 | GET      "/api/v1/internal/users/7"
[GIN] 2025/09/11 - 09:31:58 | 200 |     635.554µs |       127.0.0.1 | POST     "/api/v1/auth/refresh"
[GIN] 2025/09/11 - 09:31:58 | 200 |       47.08µs |       127.0.0.1 | POST     "/api/v1/auth/logout"
[GIN] 2025/09/11 - 09:31:58 | 200 |   48.167431ms |       127.0.0.1 | POST     "/api/v1/auth/login"
[GIN] 2025/09/11 - 09:34:23 | 404 |         892ns |       127.0.0.1 | GET      "/api/v1/internal/users/1"
[GIN] 2025/09/11 - 09:34:40 | 200 |      33.546µs |       127.0.0.1 | GET      "/health"
[GIN] 2025/09/11 - 09:34:56 | 404 |         579ns |       127.0.0.1 | GET      "/api/v1"
[GIN] 2025/09/11 - 09:35:14 | 404 |         619ns |       127.0.0.1 | GET      "/api/v1/internal/users/1"
